sample,model,condition,words,meanings,response,accuracy,memory_size
0,trace_0.01,2,b,B,B,1,8.75
0,trace_0.01,2,c,C,C,1,8.75
0,trace_0.01,2,d,D,D,1,8.75
0,trace_0.01,2,e,E,E,1,8.75
0,trace_0.01,2,f,F,F,1,8.75
0,trace_0.01,2,g,G,G,1,8.75
0,trace_0.01,2,h,H,H,1,8.75
0,trace_0.01,2,i,I,I,1,8.75
0,trace_0.01,2,j,J,J,1,8.75
0,trace_0.01,2,k,K,K,1,8.75
0,trace_0.01,2,l,L,L,1,8.75
0,trace_0.01,2,m,M,M,1,8.75
0,trace_0.01,2,n,N,N,1,8.75
0,trace_0.01,2,o,O,O,1,8.75
0,trace_0.01,2,p,P,P,1,8.75
0,trace_0.01,2,q,Q,Q,1,8.75
0,trace_0.01,2,r,R,R,1,8.75
1,trace_0.01,2,a,A,A,1,8.75
1,trace_0.01,2,b,B,B,1,8.75
1,trace_0.01,2,c,C,C,1,8.75
1,trace_0.01,2,d,D,D,1,8.75
1,trace_0.01,2,e,E,E,1,8.75
1,trace_0.01,2,f,F,F,1,8.75
1,trace_0.01,2,g,G,G,1,8.75
1,trace_0.01,2,h,H,G,0,8.75
1,trace_0.01,2,i,I,I,1,8.75
1,trace_0.01,2,j,J,J,1,8.75
1,trace_0.01,2,k,K,K,1,8.75
1,trace_0.01,2,l,L,P,0,8.75
1,trace_0.01,2,m,M,M,1,8.75
1,trace_0.01,2,n,N,N,1,8.75
1,trace_0.01,2,o,O,O,1,8.75
1,trace_0.01,2,p,P,P,1,8.75
1,trace_0.01,2,q,Q,D,0,8.75
1,trace_0.01,2,r,R,R,1,8.75
2,trace_0.01,2,a,A,A,1,8.75
2,trace_0.01,2,b,B,B,1,8.75
2,trace_0.01,2,c,C,C,1,8.75
2,trace_0.01,2,d,D,D,1,8.75
2,trace_0.01,2,e,E,E,1,8.75
2,trace_0.01,2,f,F,F,1,8.75
2,trace_0.01,2,g,G,G,1,8.75
2,trace_0.01,2,h,H,H,1,8.75
2,trace_0.01,2,i,I,I,1,8.75
2,trace_0.01,2,j,J,J,1,8.75
2,trace_0.01,2,k,K,K,1,8.75
2,trace_0.01,2,l,L,L,1,8.75
2,trace_0.01,2,m,M,M,1,8.75
2,trace_0.01,2,n,N,N,1,8.75
2,trace_0.01,2,o,O,O,1,8.75
2,trace_0.01,2,p,P,P,1,8.75
2,trace_0.01,2,q,Q,F,0,8.75
2,trace_0.01,2,r,R,R,1,8.75
3,trace_0.01,2,a,A,A,1,8.75
3,trace_0.01,2,b,B,B,1,8.75
3,trace_0.01,2,c,C,C,1,8.75
3,trace_0.01,2,d,D,D,1,8.75
3,trace_0.01,2,e,E,E,1,8.75
3,trace_0.01,2,f,F,F,1,8.75
3,trace_0.01,2,g,G,G,1,8.75
3,trace_0.01,2,h,H,H,1,8.75
3,trace_0.01,2,i,I,I,1,8.75
3,trace_0.01,2,j,J,B,0,8.75
3,trace_0.01,2,k,K,K,1,8.75
3,trace_0.01,2,l,L,L,1,8.75
3,trace_0.01,2,m,M,M,1,8.75
3,trace_0.01,2,n,N,N,1,8.75
3,trace_0.01,2,o,O,O,1,8.75
3,trace_0.01,2,p,P,P,1,8.75
3,trace_0.01,2,q,Q,Q,1,8.75
3,trace_0.01,2,r,R,R,1,8.75
4,trace_0.01,2,a,A,A,1,8.75
4,trace_0.01,2,b,B,B,1,8.75
4,trace_0.01,2,c,C,C,1,8.75
4,trace_0.01,2,d,D,D,1,8.75
4,trace_0.01,2,e,E,E,1,8.75
4,trace_0.01,2,f,F,F,1,8.75
4,trace_0.01,2,g,G,G,1,8.75
4,trace_0.01,2,h,H,H,1,8.75
4,trace_0.01,2,i,I,I,1,8.75
4,trace_0.01,2,j,J,J,1,8.75
4,trace_0.01,2,k,K,K,1,8.75
4,trace_0.01,2,l,L,L,1,8.75
4,trace_0.01,2,m,M,M,1,8.75
4,trace_0.01,2,n,N,N,1,8.75
4,trace_0.01,2,o,O,O,1,8.75
4,trace_0.01,2,p,P,P,1,8.75
4,trace_0.01,2,q,Q,Q,1,8.75
4,trace_0.01,2,r,R,R,1,8.75
5,trace_0.01,2,a,A,A,1,8.75
5,trace_0.01,2,b,B,B,1,8.75
5,trace_0.01,2,c,C,C,1,8.75
5,trace_0.01,2,d,D,D,1,8.75
5,trace_0.01,2,e,E,E,1,8.75
5,trace_0.01,2,f,F,F,1,8.75
5,trace_0.01,2,g,G,G,1,8.75
5,trace_0.01,2,h,H,H,1,8.75
5,trace_0.01,2,i,I,I,1,8.75
5,trace_0.01,2,j,J,J,1,8.75
5,trace_0.01,2,k,K,K,1,8.75
5,trace_0.01,2,l,L,L,1,8.75
5,trace_0.01,2,m,M,M,1,8.75
5,trace_0.01,2,n,N,N,1,8.75
5,trace_0.01,2,o,O,O,1,8.75
5,trace_0.01,2,p,P,P,1,8.75
5,trace_0.01,2,q,Q,Q,1,8.75
5,trace_0.01,2,r,R,R,1,8.75
6,trace_0.01,2,a,A,A,1,8.75
6,trace_0.01,2,b,B,B,1,8.75
6,trace_0.01,2,c,C,C,1,8.75
6,trace_0.01,2,d,D,D,1,8.75
6,trace_0.01,2,e,E,E,1,8.75
6,trace_0.01,2,f,F,O,0,8.75
6,trace_0.01,2,g,G,G,1,8.75
6,trace_0.01,2,h,H,H,1,8.75
6,trace_0.01,2,i,I,J,0,8.75
6,trace_0.01,2,j,J,J,1,8.75
6,trace_0.01,2,k,K,K,1,8.75
6,trace_0.01,2,l,L,L,1,8.75
6,trace_0.01,2,m,M,M,1,8.75
6,trace_0.01,2,n,N,N,1,8.75
6,trace_0.01,2,o,O,O,1,8.75
6,trace_0.01,2,p,P,P,1,8.75
6,trace_0.01,2,q,Q,Q,1,8.75
6,trace_0.01,2,r,R,R,1,8.75
7,trace_0.01,2,a,A,A,1,8.75
7,trace_0.01,2,b,B,B,1,8.75
7,trace_0.01,2,c,C,C,1,8.75
7,trace_0.01,2,d,D,D,1,8.75
7,trace_0.01,2,e,E,E,1,8.75
7,trace_0.01,2,f,F,F,1,8.75
7,trace_0.01,2,g,G,G,1,8.75
7,trace_0.01,2,h,H,H,1,8.75
7,trace_0.01,2,i,I,I,1,8.75
7,trace_0.01,2,j,J,J,1,8.75
7,trace_0.01,2,k,K,K,1,8.75
7,trace_0.01,2,l,L,L,1,8.75
7,trace_0.01,2,m,M,M,1,8.75
7,trace_0.01,2,n,N,N,1,8.75
7,trace_0.01,2,o,O,O,1,8.75
7,trace_0.01,2,p,P,P,1,8.75
7,trace_0.01,2,q,Q,Q,1,8.75
7,trace_0.01,2,r,R,R,1,8.75
8,trace_0.01,2,a,A,B,0,8.75
8,trace_0.01,2,b,B,B,1,8.75
8,trace_0.01,2,c,C,C,1,8.75
8,trace_0.01,2,d,D,D,1,8.75
8,trace_0.01,2,e,E,E,1,8.75
8,trace_0.01,2,f,F,F,1,8.75
8,trace_0.01,2,g,G,G,1,8.75
8,trace_0.01,2,h,H,H,1,8.75
8,trace_0.01,2,i,I,I,1,8.75
8,trace_0.01,2,j,J,J,1,8.75
8,trace_0.01,2,k,K,K,1,8.75
8,trace_0.01,2,l,L,L,1,8.75
8,trace_0.01,2,m,M,M,1,8.75
8,trace_0.01,2,n,N,N,1,8.75
8,trace_0.01,2,o,O,O,1,8.75
8,trace_0.01,2,p,P,P,1,8.75
8,trace_0.01,2,q,Q,Q,1,8.75
8,trace_0.01,2,r,R,R,1,8.75
9,trace_0.01,2,a,A,A,1,8.75
9,trace_0.01,2,b,B,B,1,8.75
9,trace_0.01,2,c,C,Q,0,8.75
9,trace_0.01,2,d,D,A,0,8.75
9,trace_0.01,2,e,E,E,1,8.75
9,trace_0.01,2,f,F,F,1,8.75
9,trace_0.01,2,g,G,G,1,8.75
9,trace_0.01,2,h,H,H,1,8.75
9,trace_0.01,2,i,I,I,1,8.75
9,trace_0.01,2,j,J,J,1,8.75
9,trace_0.01,2,k,K,K,1,8.75
9,trace_0.01,2,l,L,L,1,8.75
9,trace_0.01,2,m,M,M,1,8.75
9,trace_0.01,2,n,N,N,1,8.75
9,trace_0.01,2,o,O,O,1,8.75
9,trace_0.01,2,p,P,P,1,8.75
9,trace_0.01,2,q,Q,R,0,8.75
9,trace_0.01,2,r,R,B,0,8.75
10,trace_0.01,2,a,A,A,1,8.75
10,trace_0.01,2,b,B,B,1,8.75
10,trace_0.01,2,c,C,C,1,8.75
10,trace_0.01,2,d,D,D,1,8.75
10,trace_0.01,2,e,E,E,1,8.75
10,trace_0.01,2,f,F,F,1,8.75
10,trace_0.01,2,g,G,G,1,8.75
10,trace_0.01,2,h,H,L,0,8.75
10,trace_0.01,2,i,I,I,1,8.75
10,trace_0.01,2,j,J,J,1,8.75
10,trace_0.01,2,k,K,K,1,8.75
10,trace_0.01,2,l,L,L,1,8.75
10,trace_0.01,2,m,M,M,1,8.75
10,trace_0.01,2,n,N,N,1,8.75
10,trace_0.01,2,o,O,O,1,8.75
10,trace_0.01,2,p,P,P,1,8.75
10,trace_0.01,2,q,Q,Q,1,8.75
10,trace_0.01,2,r,R,R,1,8.75
11,trace_0.01,2,a,A,A,1,8.75
11,trace_0.01,2,b,B,B,1,8.75
11,trace_0.01,2,c,C,C,1,8.75
11,trace_0.01,2,d,D,D,1,8.75
11,trace_0.01,2,e,E,E,1,8.75
11,trace_0.01,2,f,F,F,1,8.75
11,trace_0.01,2,g,G,O,0,8.75
11,trace_0.01,2,h,H,H,1,8.75
11,trace_0.01,2,i,I,I,1,8.75
11,trace_0.01,2,j,J,J,1,8.75
11,trace_0.01,2,k,K,O,0,8.75
11,trace_0.01,2,l,L,L,1,8.75
11,trace_0.01,2,m,M,M,1,8.75
11,trace_0.01,2,n,N,N,1,8.75
11,trace_0.01,2,o,O,O,1,8.75
11,trace_0.01,2,p,P,P,1,8.75
11,trace_0.01,2,q,Q,Q,1,8.75
11,trace_0.01,2,r,R,R,1,8.75
12,trace_0.01,2,a,A,A,1,8.75
12,trace_0.01,2,b,B,B,1,8.75
12,trace_0.01,2,c,C,C,1,8.75
12,trace_0.01,2,d,D,D,1,8.75
12,trace_0.01,2,e,E,E,1,8.75
12,trace_0.01,2,f,F,F,1,8.75
12,trace_0.01,2,g,G,G,1,8.75
12,trace_0.01,2,h,H,H,1,8.75
12,trace_0.01,2,i,I,I,1,8.75
12,trace_0.01,2,j,J,J,1,8.75
12,trace_0.01,2,k,K,K,1,8.75
12,trace_0.01,2,l,L,L,1,8.75
12,trace_0.01,2,m,M,M,1,8.75
12,trace_0.01,2,n,N,N,1,8.75
12,trace_0.01,2,o,O,O,1,8.75
12,trace_0.01,2,p,P,P,1,8.75
12,trace_0.01,2,q,Q,Q,1,8.75
12,trace_0.01,2,r,R,R,1,8.75
13,trace_0.01,2,a,A,A,1,8.75
13,trace_0.01,2,b,B,B,1,8.75
13,trace_0.01,2,c,C,P,0,8.75
13,trace_0.01,2,d,D,D,1,8.75
13,trace_0.01,2,e,E,E,1,8.75
13,trace_0.01,2,f,F,F,1,8.75
13,trace_0.01,2,g,G,G,1,8.75
13,trace_0.01,2,h,H,H,1,8.75
13,trace_0.01,2,i,I,I,1,8.75
13,trace_0.01,2,j,J,J,1,8.75
13,trace_0.01,2,k,K,K,1,8.75
13,trace_0.01,2,l,L,L,1,8.75
13,trace_0.01,2,m,M,M,1,8.75
13,trace_0.01,2,n,N,N,1,8.75
